Date,Open,High,Low,Close,% Change
"Sep 03, 2025 23:30",0.039891,0.039893,0.039827,0.039827,-0.16%
"Sep 03, 2025 23:00",0.039893,0.039932,0.039891,0.039891,-0.01%
"Sep 03, 2025 22:30",0.039845,0.039893,0.039845,0.039893,0.12%
"Sep 03, 2025 22:00",0.03982,0.039968,0.03982,0.039845,0.06%
"Sep 03, 2025 21:30",0.039901,0.039901,0.039753,0.03982,-0.20%
"Sep 03, 2025 21:00",0.039819,0.039901,0.039757,0.039901,0.21%
"Sep 03, 2025 20:30",0.039918,0.039918,0.039819,0.039819,-0.25%
"Sep 03, 2025 20:00",0.039892,0.039918,0.039892,0.039918,0.07%
"Sep 03, 2025 19:30",0.039894,0.039911,0.039878,0.039911,0.04%
"Sep 03, 2025 19:00",0.039894,0.039894,0.039894,0.039894,0
"Sep 03, 2025 18:30",0.03985,0.039894,0.03985,0.039894,0.11%
"Sep 03, 2025 18:00",0.039847,0.039854,0.039336,0.03985,0.01%
"Sep 03, 2025 17:30",0.039833,0.039899,0.039791,0.039851,0.05%
"Sep 03, 2025 17:00",0.039917,0.039917,0.039833,0.039833,-0.21%
"Sep 03, 2025 16:30",0.039815,0.039939,0.039796,0.039917,0.26%
"Sep 03, 2025 16:00",0.039943,0.039943,0.039814,0.039814,-0.32%
"Sep 03, 2025 15:30",0.039834,0.039946,0.039817,0.039943,0.27%
"Sep 03, 2025 15:00",0.039789,0.039834,0.039724,0.039834,0.11%
"Sep 03, 2025 14:30",0.039881,0.039881,0.039752,0.03985,-0.08%
"Sep 03, 2025 14:00",0.039675,0.039888,0.039601,0.039888,0.54%
"Sep 03, 2025 13:30",0.039305,0.039668,0.039305,0.039641,0.85%
"Sep 03, 2025 13:00",0.03919,0.039383,0.039188,0.039348,0.40%
"Sep 03, 2025 12:30",0.039142,0.03915,0.03908,0.039141,0.00%
"Sep 03, 2025 12:00",0.039252,0.039252,0.039104,0.039116,-0.35%
